WKT;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
POINT (-58.440703018640058 -34.592266928589886);18;Aguirre;JUSTO JUAN B.;AGUIRRE;JUSTO JUAN B. & AGUIRRE;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.434753212275034 -34.585372194959099);20;Honduras;JUSTO JUAN B.;HONDURAS;JUSTO JUAN B. & HONDURAS;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.430041255397477 -34.581879684783154);21;Guatemala;JUSTO JUAN B.;GUATEMALA;JUSTO JUAN B. & GUATEMALA;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.426515354062616 -34.577583241440635);23;Pacífico;BULLRICH INT AV;SANTA FE;BULLRICH INT AV & SANTA FE;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.380854057239539 -34.618876714053805);27;Estados Unidos;AV. 9 DE JULIO;;Entre Carlos Calvo y Estados Unidos;si;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio
POINT (-58.380882769127837 -34.617890477370551);28;Independencia;AV. 9 DE JULIO;;Entre Estados Unidos e Independencia;si;45 -- 70;45 -- 70;Metrobus 9 de Julio
POINT (-58.380944992793843 -34.616679488313913);29;Chile;AV. 9 DE JULIO;;Entre Independencia y Chile;si;9 -- 91 -- 100;100 -- 9 -- 91;Metrobus 9 de Julio
POINT (-58.380990528402691 -34.615509772959797);30;México;AV. 9 DE JULIO;;Entre Chile y México;si;67 -- 98 -- 129;67 -- 129;Metrobus 9 de Julio
POINT (-58.381030356944962 -34.614500606940602);31;Venezuela;AV. 9 DE JULIO;;Entre México y Venezuela;si;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio
POINT (-58.381042460193484 -34.613473073224057);32;Belgrano;AV. 9 DE JULIO;;Entre Venezuela y Belgrano;si;45 -- 70 -- 100;100 -- 45 -- 70;Metrobus 9 de Julio
POINT (-58.381171727514044 -34.611070891371021);33;Alsina;AV. 9 DE JULIO;;Entre Moreno y Alsina;si;129;129;Metrobus 9 de Julio
POINT (-58.381255566548958 -34.609944087864065);34;Yrigoyen;AV. 9 DE JULIO;;Entre Alsina e Hipólito Yrigoyen;si;9 -- 91 -- 67;67 -- 9 -- 91;Metrobus 9 de Julio
